pop_order;region;site_full;site;lat;long
1;Koster;Koster donor;KOD;58.882538;10.991989
2;Hake-Älgöfjorden;Stenungsund;STE;58.05143;11.81013
3;Kungsbacka;Gottskär;GOT;57.39626;12.02123
4;Lahalmsbukten;Grötvik;GRO;56.64116;12.78014
5;Södra Höganäs;Höganäs;HOG;56.19690;12.55141
6;Øresund;Ålabodarna;ALA;55.940683;12.771034
7;Gamla Staden-Sandskogen;Ystad;YST;55.4215587861172;13.8463615898543
8;Pukaviksbukten;Furumon;FUR;56.0953999996185;14.7202999750773
9;Öland;Kårehamn;KAR;56.969566;16.912377
10;Gotland;Klintehamn;KLI;57.401162;18.152719
11;Västervik;Hornsudde;HOR;57.695151;16.730625
12;Gotland;Slite;SLI;57.713318;18.831167
13;Tystberga;Krampö;KRA;58.6906470;17.4658689
14;Nynäshamn;Nynäshamn;NYN;58.8811079;17.9542217
15;Östersjö;Björkö;BJO;59.83484288645309;19.078679980494496
